es,en
hoy,today
tres,three
buena,good
necesito,need
dije,said
oye,hey
gusta,like
quería,wanted to
será,will be
haber,have
parte,part
todas,all
crees,do you believe
buen,good
conmigo,with me
nombre,name
mierda,shit
nuestra,our
mal,evil
debe,has to
realmente,really
estas,are
aún,still
mío,mine
toda,all
hacerlo,do it
cada,each
visto,seen
importa,matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,know
hizo,did
veces,times
serio,Serious
ven,come
idea,idea
eh,Hey
tarde,late
problema,problem
hora,hour
cierto,TRUE
dicho,saying
quien,who
demasiado,too much
amor,love
entre,between
ve,go
pasado,past
familia,family
estos,these
policía,police
debería,ought
ustedes,you
chica,girl
esos,those
chicos,guys
cuenta,account
haces,you do
todavía,still
salir,go out
algún,some
vaya,Oh
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,knew
cabeza,head
ah,oh
cariño,dear
digo,say
van,they go
hombres,men
buenas,hello good
somos,are
cualquier,any
forma,shape
mientras,while
lado,side
debo,I must
sería,I would be
caso,case
pueden,they can
pasó,passed
primera,first
genial,brilliant
chico,boy
supuesto,supposed
hice,I did
pues,well
adiós,bye
muchas,many
personas,people
señora,lady
