,es,en
0,hoy,today
1,tres,three
2,buena,good
3,necesito,need
4,dije,said
5,oye,hey
6,gusta,like
7,quería,wanted to
8,será,will be
9,haber,have
10,parte,part
11,todas,all
12,crees,do you believe
13,buen,good
14,conmigo,with me
15,nombre,name
16,mierda,shit
17,nuestra,our
18,mal,evil
19,debe,has to
20,realmente,really
21,estas,are
22,aún,still
23,mío,mine
24,toda,all
25,hacerlo,do it
26,cada,each
27,visto,seen
28,importa,matters
29,contigo,with you
30,tienen,have
31,hemos,we have
32,razón,reason
33,alguna,some
34,tanto,so much
35,saber,know
36,veces,times
37,serio,Serious
38,ven,come
39,idea,idea
40,eh,Hey
41,tarde,late
42,problema,problem
43,hora,hour
44,cierto,TRUE
45,dicho,saying
46,quien,who
47,demasiado,too much
48,amor,love
49,entre,between
50,ve,go
51,pasado,past
52,familia,family
53,estos,these
54,policía,police
55,debería,ought
56,ustedes,you
57,chica,girl
58,esos,those
59,chicos,guys
60,cuenta,account
61,haces,you do
62,todavía,still
63,salir,go out
64,algún,some
65,vaya,Oh
66,unos,some
67,veo,I see
68,amigos,friends
69,hermano,brother
70,pensé,I thought
71,sabía,knew
72,cabeza,head
73,ah,oh
74,cariño,dear
75,digo,say
76,van,they go
77,hombres,men
78,buenas,hello good
79,cualquier,any
80,forma,shape
81,mientras,while
82,lado,side
83,debo,I must
84,sería,I would be
85,caso,case
86,pueden,they can
87,pasó,passed
88,primera,first
89,genial,brilliant
90,chico,boy
91,supuesto,supposed
92,hice,I did
93,pues,well
94,adiós,bye
95,muchas,many
96,personas,people
97,señora,lady
